user_id,device,country,campaign_name,channel,signup_date,first_purchase_date,total_purchases,lifetime_value,customer_segment
55,mobile,Canada,Email Newsletter,Email,2025-08-25,2025-10-12,1,39.55,One-time Buyer
56,mobile,Australia,Email Newsletter,Email,2025-12-03,,0,0.0,Non-Purchaser
57,mobile,USA,Google Search - Generic,Google Ads,2025-07-06,,0,0.0,Non-Purchaser
58,desktop,USA,Organic Search,Organic,2025-07-14,,0,0.0,Non-Purchaser
59,mobile,India,Google Search - Generic,Google Ads,2025-07-03,,0,0.0,Non-Purchaser
60,mobile,Canada,Facebook Ads - Retargeting,Facebook,2025-07-25,,0,0.0,Non-Purchaser
61,mobile,USA,YouTube Ads,YouTube,2025-07-31,,0,0.0,Non-Purchaser
62,mobile,UK,Email Newsletter,Email,2025-07-20,2025-07-20,1,169.77,One-time Buyer
63,mobile,Canada,Email Newsletter,Email,2025-10-16,2025-11-07,1,157.53,One-time Buyer
64,mobile,Canada,Organic Search,Organic,2025-07-27,2025-07-30,2,295.74,Repeat Customer
65,mobile,India,Organic Search,Organic,2025-07-21,2025-08-05,1,92.55,One-time Buyer
66,desktop,USA,Organic Search,Organic,2025-08-17,,0,0.0,Non-Purchaser
67,desktop,USA,Google Search - Generic,Google Ads,2025-07-10,2025-08-14,2,625.1600000000001,Repeat Customer
68,desktop,UK,Google Search - Brand,Google Ads,2025-10-07,2025-11-06,1,48.94,One-time Buyer
69,mobile,USA,Google Search - Generic,Google Ads,2025-07-05,,0,0.0,Non-Purchaser
70,desktop,UK,Google Search - Generic,Google Ads,2025-12-31,,0,0.0,Non-Purchaser
71,desktop,USA,Google Search - Generic,Google Ads,2025-09-29,2025-10-09,1,220.38,One-time Buyer
72,desktop,USA,Direct Traffic,Direct,2025-07-14,,0,0.0,Non-Purchaser
73,desktop,UK,Organic Search,Organic,2025-07-01,,0,0.0,Non-Purchaser
74,mobile,Canada,Google Search - Generic,Google Ads,2025-10-12,,0,0.0,Non-Purchaser
75,tablet,Canada,Organic Search,Organic,2025-09-13,2025-10-04,1,125.8,One-time Buyer
76,mobile,UK,Facebook Ads - Retargeting,Facebook,2025-09-18,,0,0.0,Non-Purchaser
77,mobile,USA,Direct Traffic,Direct,2025-09-28,,0,0.0,Non-Purchaser
78,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-05,,0,0.0,Non-Purchaser
79,mobile,Canada,Google Search - Generic,Google Ads,2025-07-28,2025-07-28,1,160.97,One-time Buyer
80,tablet,USA,Google Search - Generic,Google Ads,2025-07-08,,0,0.0,Non-Purchaser
81,mobile,Canada,Email Newsletter,Email,2025-10-30,2025-12-16,1,267.84,One-time Buyer
82,mobile,UK,Google Search - Generic,Google Ads,2025-08-29,,0,0.0,Non-Purchaser
83,desktop,USA,Email Newsletter,Email,2025-07-25,2025-07-27,3,542.41,Repeat Customer
84,mobile,Canada,Organic Search,Organic,2025-07-05,,0,0.0,Non-Purchaser
85,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-23,2025-08-21,1,31.59,One-time Buyer
86,desktop,UK,Google Search - Generic,Google Ads,2025-07-24,,0,0.0,Non-Purchaser
87,desktop,USA,YouTube Ads,YouTube,2025-09-18,,0,0.0,Non-Purchaser
88,mobile,USA,Instagram Influencer,Instagram,2025-08-31,,0,0.0,Non-Purchaser
89,desktop,UK,Google Search - Brand,Google Ads,2025-11-11,,0,0.0,Non-Purchaser
90,mobile,UK,Google Search - Brand,Google Ads,2025-08-08,,0,0.0,Non-Purchaser
91,mobile,Canada,Google Search - Brand,Google Ads,2025-07-08,2025-07-09,3,559.5,Repeat Customer
92,mobile,Canada,Email Newsletter,Email,2025-09-15,,0,0.0,Non-Purchaser
93,mobile,Canada,Organic Search,Organic,2025-09-26,,0,0.0,Non-Purchaser
94,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-08-20,,0,0.0,Non-Purchaser
95,desktop,UK,Google Search - Brand,Google Ads,2025-09-28,,0,0.0,Non-Purchaser
96,mobile,UK,Facebook Ads - Retargeting,Facebook,2025-08-11,,0,0.0,Non-Purchaser
97,mobile,USA,YouTube Ads,YouTube,2025-08-15,2025-08-22,1,13.72,One-time Buyer
98,desktop,UK,Instagram Influencer,Instagram,2025-08-04,,0,0.0,Non-Purchaser
99,mobile,Australia,YouTube Ads,YouTube,2025-07-02,,0,0.0,Non-Purchaser
100,mobile,USA,Organic Search,Organic,2025-07-07,,0,0.0,Non-Purchaser
101,tablet,India,Google Search - Brand,Google Ads,2025-07-02,,0,0.0,Non-Purchaser
102,desktop,USA,Organic Search,Organic,2025-08-31,,0,0.0,Non-Purchaser
103,tablet,USA,Organic Search,Organic,2025-07-24,2025-07-30,1,439.17,One-time Buyer
104,mobile,USA,Instagram Influencer,Instagram,2025-08-13,,0,0.0,Non-Purchaser
105,desktop,UK,Google Search - Generic,Google Ads,2025-11-23,,0,0.0,Non-Purchaser
106,mobile,USA,Email Newsletter,Email,2025-07-18,,0,0.0,Non-Purchaser
107,mobile,India,Google Search - Brand,Google Ads,2025-08-02,2025-08-20,1,221.39,One-time Buyer
108,mobile,India,Facebook Ads - Retargeting,Facebook,2025-09-24,,0,0.0,Non-Purchaser
109,mobile,Canada,Facebook Ads - Retargeting,Facebook,2025-07-16,2025-09-13,1,199.26,One-time Buyer
110,mobile,UK,YouTube Ads,YouTube,2025-07-05,,0,0.0,Non-Purchaser
111,mobile,Australia,Organic Search,Organic,2025-07-21,,0,0.0,Non-Purchaser
112,mobile,India,Google Search - Generic,Google Ads,2025-07-11,,0,0.0,Non-Purchaser
113,desktop,UK,Instagram Influencer,Instagram,2025-12-09,,0,0.0,Non-Purchaser
114,mobile,Canada,Google Search - Generic,Google Ads,2025-10-09,,0,0.0,Non-Purchaser
115,mobile,UK,Direct Traffic,Direct,2025-08-31,2025-09-10,1,22.71,One-time Buyer
116,mobile,UK,Organic Search,Organic,2025-11-03,2025-11-14,1,77.5,One-time Buyer
117,mobile,USA,Google Search - Generic,Google Ads,2025-10-08,,0,0.0,Non-Purchaser
118,desktop,UK,Email Newsletter,Email,2025-07-13,2025-07-29,1,134.29,One-time Buyer
119,mobile,USA,Email Newsletter,Email,2025-11-14,2025-11-21,1,114.99,One-time Buyer
120,desktop,USA,Google Search - Generic,Google Ads,2025-08-17,,0,0.0,Non-Purchaser
121,mobile,Canada,Organic Search,Organic,2025-10-09,,0,0.0,Non-Purchaser
122,mobile,Australia,Instagram Influencer,Instagram,2025-11-16,,0,0.0,Non-Purchaser
123,desktop,Australia,Organic Search,Organic,2025-07-24,,0,0.0,Non-Purchaser
124,desktop,UK,Instagram Influencer,Instagram,2025-07-08,,0,0.0,Non-Purchaser
125,mobile,UK,Google Search - Brand,Google Ads,2025-07-16,2025-08-07,2,110.54999999999998,Repeat Customer
126,desktop,USA,Google Search - Generic,Google Ads,2025-08-03,,0,0.0,Non-Purchaser
127,mobile,Canada,Google Search - Brand,Google Ads,2025-10-12,2025-10-15,1,34.22,One-time Buyer
128,desktop,USA,Direct Traffic,Direct,2025-10-29,,0,0.0,Non-Purchaser
129,desktop,USA,Organic Search,Organic,2025-07-01,,0,0.0,Non-Purchaser
130,desktop,Canada,Organic Search,Organic,2025-08-13,2025-08-18,1,46.04,One-time Buyer
131,tablet,USA,Google Search - Generic,Google Ads,2025-08-02,2025-08-19,1,66.93,One-time Buyer
132,mobile,USA,Google Search - Brand,Google Ads,2025-07-16,,0,0.0,Non-Purchaser
133,desktop,India,Organic Search,Organic,2025-07-08,2025-07-23,2,358.22,Repeat Customer
134,mobile,USA,Direct Traffic,Direct,2025-07-26,,0,0.0,Non-Purchaser
135,mobile,USA,Google Search - Brand,Google Ads,2025-12-22,2025-12-25,1,34.52,One-time Buyer
136,mobile,USA,Instagram Influencer,Instagram,2025-07-24,,0,0.0,Non-Purchaser
137,mobile,USA,Google Search - Brand,Google Ads,2025-08-14,,0,0.0,Non-Purchaser
138,desktop,USA,Organic Search,Organic,2025-09-13,,0,0.0,Non-Purchaser
139,mobile,Canada,Organic Search,Organic,2025-07-28,,0,0.0,Non-Purchaser
140,mobile,USA,Google Search - Brand,Google Ads,2025-12-31,2025-12-31,1,54.66,One-time Buyer
141,mobile,India,Instagram Influencer,Instagram,2025-12-31,,0,0.0,Non-Purchaser
142,mobile,USA,Instagram Influencer,Instagram,2025-07-18,2025-08-05,1,192.88,One-time Buyer
143,desktop,UK,Google Search - Generic,Google Ads,2025-08-11,,0,0.0,Non-Purchaser
144,mobile,Canada,Organic Search,Organic,2025-07-22,2025-07-22,2,196.88,Repeat Customer
145,desktop,Canada,Facebook Ads - Retargeting,Facebook,2025-07-21,2025-08-04,1,128.18,One-time Buyer
146,desktop,UK,Google Search - Generic,Google Ads,2025-07-03,,0,0.0,Non-Purchaser
147,desktop,Australia,Instagram Influencer,Instagram,2025-08-27,,0,0.0,Non-Purchaser
148,mobile,USA,Organic Search,Organic,2025-08-12,2025-10-10,1,93.29,One-time Buyer
149,desktop,UK,Google Search - Generic,Google Ads,2025-07-04,,0,0.0,Non-Purchaser
150,mobile,India,Google Search - Generic,Google Ads,2025-07-20,2025-08-30,1,183.02,One-time Buyer
151,desktop,USA,YouTube Ads,YouTube,2025-11-23,,0,0.0,Non-Purchaser
152,mobile,USA,Email Newsletter,Email,2025-07-17,2025-08-05,1,151.59,One-time Buyer
153,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-10,,0,0.0,Non-Purchaser
154,mobile,UK,Instagram Influencer,Instagram,2025-08-11,,0,0.0,Non-Purchaser
155,desktop,USA,Google Search - Brand,Google Ads,2025-12-31,2025-12-31,1,126.06,One-time Buyer
156,mobile,USA,Google Search - Generic,Google Ads,2025-07-17,2025-07-26,1,33.87,One-time Buyer
157,mobile,UK,Google Search - Generic,Google Ads,2025-09-07,2025-09-17,1,23.33,One-time Buyer
158,mobile,UK,Email Newsletter,Email,2025-09-26,2025-09-27,2,130.57999999999998,Repeat Customer
159,desktop,USA,Google Search - Generic,Google Ads,2025-07-17,,0,0.0,Non-Purchaser
160,desktop,USA,Google Search - Generic,Google Ads,2025-09-18,,0,0.0,Non-Purchaser
161,mobile,UK,Google Search - Brand,Google Ads,2025-07-28,,0,0.0,Non-Purchaser
162,desktop,Australia,Email Newsletter,Email,2025-08-31,,0,0.0,Non-Purchaser
163,mobile,Canada,Google Search - Generic,Google Ads,2025-08-31,,0,0.0,Non-Purchaser
164,mobile,Canada,Direct Traffic,Direct,2025-08-16,,0,0.0,Non-Purchaser
165,desktop,USA,Organic Search,Organic,2025-07-06,2025-07-08,1,24.49,One-time Buyer
166,mobile,USA,Google Search - Brand,Google Ads,2025-10-19,,0,0.0,Non-Purchaser
167,mobile,UK,Google Search - Generic,Google Ads,2025-07-24,,0,0.0,Non-Purchaser
168,mobile,India,Organic Search,Organic,2025-07-13,,0,0.0,Non-Purchaser
169,mobile,UK,Google Search - Generic,Google Ads,2025-07-03,2025-07-09,1,32.07,One-time Buyer
170,mobile,India,Google Search - Brand,Google Ads,2025-08-24,2025-08-24,1,214.23,One-time Buyer
171,mobile,Australia,Direct Traffic,Direct,2025-09-08,2025-09-18,2,438.13,Repeat Customer
172,mobile,USA,Email Newsletter,Email,2025-07-02,,0,0.0,Non-Purchaser
173,mobile,USA,Instagram Influencer,Instagram,2025-08-13,,0,0.0,Non-Purchaser
174,mobile,USA,Organic Search,Organic,2025-07-16,,0,0.0,Non-Purchaser
175,mobile,USA,Organic Search,Organic,2025-09-02,2025-09-10,2,134.18,Repeat Customer
176,mobile,USA,Google Search - Generic,Google Ads,2025-07-12,2025-07-17,3,296.77,Repeat Customer
177,desktop,India,Google Search - Brand,Google Ads,2025-09-10,2025-09-14,1,23.06,One-time Buyer
178,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-30,2025-09-10,1,286.6,One-time Buyer
179,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-12-16,2025-12-31,1,70.67,One-time Buyer
180,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-07-10,,0,0.0,Non-Purchaser
181,desktop,Australia,Organic Search,Organic,2025-07-26,,0,0.0,Non-Purchaser
182,mobile,Canada,Organic Search,Organic,2025-07-08,,0,0.0,Non-Purchaser
183,mobile,India,YouTube Ads,YouTube,2025-12-05,,0,0.0,Non-Purchaser
184,mobile,Australia,Google Search - Brand,Google Ads,2025-11-05,,0,0.0,Non-Purchaser
185,desktop,UK,Facebook Ads - Retargeting,Facebook,2025-07-19,2025-08-07,1,47.19,One-time Buyer
186,mobile,USA,Google Search - Generic,Google Ads,2025-09-04,,0,0.0,Non-Purchaser
187,desktop,USA,Organic Search,Organic,2025-10-12,,0,0.0,Non-Purchaser
188,desktop,USA,Google Search - Generic,Google Ads,2025-08-19,2025-08-26,2,221.61,Repeat Customer
189,mobile,Canada,Google Search - Generic,Google Ads,2025-08-16,2025-09-06,1,496.46,One-time Buyer
190,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-17,2025-07-19,1,191.8,One-time Buyer
191,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-07-06,2025-07-19,1,127.88,One-time Buyer
192,mobile,UK,Google Search - Generic,Google Ads,2025-11-16,2025-11-21,2,424.38,Repeat Customer
193,mobile,UK,Google Search - Generic,Google Ads,2025-11-18,,0,0.0,Non-Purchaser
194,desktop,Canada,Direct Traffic,Direct,2025-08-31,,0,0.0,Non-Purchaser
195,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-26,2025-08-20,1,157.49,One-time Buyer
196,desktop,India,Organic Search,Organic,2025-07-27,2025-08-10,1,185.95,One-time Buyer
197,desktop,UK,Email Newsletter,Email,2025-09-17,,0,0.0,Non-Purchaser
198,desktop,USA,Google Search - Brand,Google Ads,2025-11-16,2025-11-18,2,818.66,Repeat Customer
199,mobile,Canada,YouTube Ads,YouTube,2025-11-11,,0,0.0,Non-Purchaser
200,mobile,Australia,Organic Search,Organic,2025-10-01,,0,0.0,Non-Purchaser
201,mobile,USA,YouTube Ads,YouTube,2025-09-01,2025-09-16,1,94.72,One-time Buyer
202,mobile,USA,Direct Traffic,Direct,2025-07-06,2025-08-09,1,70.94,One-time Buyer
203,mobile,UK,Organic Search,Organic,2025-07-11,2025-07-13,1,345.44,One-time Buyer
204,mobile,USA,Google Search - Generic,Google Ads,2025-11-17,,0,0.0,Non-Purchaser
205,mobile,India,Instagram Influencer,Instagram,2025-08-26,,0,0.0,Non-Purchaser
206,mobile,USA,Google Search - Generic,Google Ads,2025-07-01,,0,0.0,Non-Purchaser
207,desktop,Canada,Facebook Ads - Retargeting,Facebook,2025-07-07,2025-07-08,1,201.15,One-time Buyer
208,mobile,Canada,Google Search - Brand,Google Ads,2025-09-05,,0,0.0,Non-Purchaser
209,mobile,UK,Facebook Ads - Retargeting,Facebook,2025-07-01,,0,0.0,Non-Purchaser
210,desktop,USA,YouTube Ads,YouTube,2025-07-11,,0,0.0,Non-Purchaser
211,tablet,USA,Google Search - Generic,Google Ads,2025-08-18,2025-08-21,1,21.57,One-time Buyer
212,mobile,USA,Organic Search,Organic,2025-09-10,,0,0.0,Non-Purchaser
213,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-09-03,,0,0.0,Non-Purchaser
214,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-16,2025-08-21,1,44.62,One-time Buyer
215,desktop,India,YouTube Ads,YouTube,2025-09-14,,0,0.0,Non-Purchaser
216,desktop,USA,YouTube Ads,YouTube,2025-07-17,,0,0.0,Non-Purchaser
217,desktop,Canada,Email Newsletter,Email,2025-07-25,,0,0.0,Non-Purchaser
218,mobile,USA,Organic Search,Organic,2025-09-22,,0,0.0,Non-Purchaser
219,mobile,Canada,Google Search - Generic,Google Ads,2025-09-02,2025-09-03,1,298.98,One-time Buyer
220,mobile,Australia,Google Search - Generic,Google Ads,2025-10-24,,0,0.0,Non-Purchaser
221,desktop,USA,YouTube Ads,YouTube,2025-09-04,2025-09-24,1,254.29,One-time Buyer
222,desktop,India,Email Newsletter,Email,2025-08-21,,0,0.0,Non-Purchaser
223,tablet,UK,Instagram Influencer,Instagram,2025-07-06,2025-07-17,1,188.13,One-time Buyer
224,mobile,India,Organic Search,Organic,2025-07-28,2025-09-07,1,87.52,One-time Buyer
225,mobile,Canada,Google Search - Brand,Google Ads,2025-07-19,,0,0.0,Non-Purchaser
226,mobile,USA,Email Newsletter,Email,2025-07-18,,0,0.0,Non-Purchaser
227,desktop,USA,Instagram Influencer,Instagram,2025-12-31,,0,0.0,Non-Purchaser
228,desktop,USA,Organic Search,Organic,2025-07-31,2025-07-31,3,460.28000000000003,Repeat Customer
229,mobile,UK,Google Search - Generic,Google Ads,2025-11-13,,0,0.0,Non-Purchaser
230,mobile,Australia,YouTube Ads,YouTube,2025-08-30,2025-09-02,1,71.51,One-time Buyer
231,mobile,Canada,Google Search - Brand,Google Ads,2025-10-05,2025-10-21,1,282.27,One-time Buyer
232,mobile,USA,Google Search - Generic,Google Ads,2025-08-12,,0,0.0,Non-Purchaser
233,desktop,India,Email Newsletter,Email,2025-08-22,2025-08-23,1,142.62,One-time Buyer
234,mobile,Canada,Organic Search,Organic,2025-08-11,,0,0.0,Non-Purchaser
235,desktop,USA,Google Search - Generic,Google Ads,2025-07-14,,0,0.0,Non-Purchaser
236,mobile,USA,Google Search - Brand,Google Ads,2025-09-17,2025-10-12,1,18.6,One-time Buyer
237,desktop,USA,Organic Search,Organic,2025-07-21,2025-07-24,1,117.88,One-time Buyer
238,mobile,India,Google Search - Generic,Google Ads,2025-07-02,,0,0.0,Non-Purchaser
239,desktop,India,Email Newsletter,Email,2025-09-02,,0,0.0,Non-Purchaser
240,mobile,USA,Email Newsletter,Email,2025-07-12,2025-07-22,1,157.4,One-time Buyer
241,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-12-20,2025-12-31,1,77.3,One-time Buyer
242,mobile,Canada,Email Newsletter,Email,2025-12-31,2025-12-31,1,40.88,One-time Buyer
243,mobile,Australia,Instagram Influencer,Instagram,2025-11-28,2025-12-02,1,81.22,One-time Buyer
244,mobile,Canada,Direct Traffic,Direct,2025-07-29,,0,0.0,Non-Purchaser
245,mobile,UK,Google Search - Generic,Google Ads,2025-07-01,2025-07-17,1,14.77,One-time Buyer
246,tablet,USA,Organic Search,Organic,2025-12-08,,0,0.0,Non-Purchaser
247,mobile,UK,Google Search - Generic,Google Ads,2025-08-04,,0,0.0,Non-Purchaser
248,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-12-31,,0,0.0,Non-Purchaser
249,tablet,India,Organic Search,Organic,2025-12-31,,0,0.0,Non-Purchaser
250,mobile,USA,Google Search - Generic,Google Ads,2025-10-25,,0,0.0,Non-Purchaser
251,desktop,India,Google Search - Generic,Google Ads,2025-07-22,,0,0.0,Non-Purchaser
252,mobile,USA,Organic Search,Organic,2025-07-30,,0,0.0,Non-Purchaser
253,mobile,India,Google Search - Brand,Google Ads,2025-10-25,,0,0.0,Non-Purchaser
254,mobile,USA,Facebook Ads - Retargeting,Facebook,2025-07-24,2025-07-26,1,131.22,One-time Buyer
255,desktop,USA,YouTube Ads,YouTube,2025-07-12,2025-07-12,1,23.41,One-time Buyer
256,mobile,UK,YouTube Ads,YouTube,2025-08-19,2025-09-23,1,111.79,One-time Buyer
257,mobile,USA,Google Search - Brand,Google Ads,2025-12-15,,0,0.0,Non-Purchaser
258,mobile,Australia,Google Search - Generic,Google Ads,2025-09-11,2025-09-13,2,328.71000000000004,Repeat Customer
259,desktop,UK,Google Search - Generic,Google Ads,2025-08-21,,0,0.0,Non-Purchaser
260,mobile,UK,Direct Traffic,Direct,2025-07-07,,0,0.0,Non-Purchaser
261,desktop,India,Organic Search,Organic,2025-08-28,2025-09-02,1,54.51,One-time Buyer
262,desktop,India,Organic Search,Organic,2025-12-31,2025-12-31,1,285.4,One-time Buyer
263,desktop,UK,Facebook Ads - Retargeting,Facebook,2025-07-10,2025-07-16,1,87.42,One-time Buyer
264,desktop,Australia,Google Search - Generic,Google Ads,2025-08-14,,0,0.0,Non-Purchaser
265,desktop,USA,Organic Search,Organic,2025-11-06,2025-11-07,1,188.85,One-time Buyer
266,mobile,USA,Organic Search,Organic,2025-09-21,2025-10-03,1,241.48,One-time Buyer
267,mobile,UK,Email Newsletter,Email,2025-09-11,,0,0.0,Non-Purchaser
268,mobile,USA,YouTube Ads,YouTube,2025-09-12,,0,0.0,Non-Purchaser
269,mobile,UK,Organic Search,Organic,2025-07-28,,0,0.0,Non-Purchaser
270,mobile,USA,Google Search - Brand,Google Ads,2025-07-22,,0,0.0,Non-Purchaser
271,mobile,USA,Organic Search,Organic,2025-10-10,,0,0.0,Non-Purchaser
272,mobile,India,Google Search - Generic,Google Ads,2025-10-10,2025-10-13,1,17.39,One-time Buyer
273,tablet,UK,Organic Search,Organic,2025-11-01,2025-11-07,1,143.95,One-time Buyer
274,mobile,Australia,Direct Traffic,Direct,2025-11-27,,0,0.0,Non-Purchaser
275,desktop,Canada,Google Search - Brand,Google Ads,2025-08-13,2025-08-29,1,24.43,One-time Buyer
276,mobile,USA,Google Search - Brand,Google Ads,2025-08-12,,0,0.0,Non-Purchaser
277,desktop,USA,Google Search - Brand,Google Ads,2025-10-06,2025-11-09,1,77.18,One-time Buyer
278,desktop,USA,Email Newsletter,Email,2025-09-03,,0,0.0,Non-Purchaser
279,mobile,India,Google Search - Generic,Google Ads,2025-09-12,,0,0.0,Non-Purchaser
280,mobile,USA,Email Newsletter,Email,2025-10-05,2025-11-04,1,488.79,One-time Buyer
281,mobile,USA,Organic Search,Organic,2025-11-12,2025-11-19,1,23.9,One-time Buyer
282,mobile,India,Google Search - Generic,Google Ads,2025-07-26,2025-08-12,1,116.8,One-time Buyer
283,desktop,UK,Email Newsletter,Email,2025-07-29,2025-07-30,1,40.64,One-time Buyer
284,desktop,USA,Google Search - Generic,Google Ads,2025-07-07,2025-07-20,1,11.96,One-time Buyer
285,mobile,USA,Instagram Influencer,Instagram,2025-08-22,2025-09-10,1,26.42,One-time Buyer
286,mobile,India,Direct Traffic,Direct,2025-07-03,2025-07-05,1,74.47,One-time Buyer
287,mobile,India,Organic Search,Organic,2025-08-08,2025-08-08,1,82.31,One-time Buyer
288,mobile,USA,Google Search - Brand,Google Ads,2025-08-17,2025-08-22,1,36.23,One-time Buyer
289,desktop,USA,Facebook Ads - Retargeting,Facebook,2025-07-21,2025-08-12,1,149.21,One-time Buyer
290,mobile,India,Google Search - Generic,Google Ads,2025-08-24,,0,0.0,Non-Purchaser
291,mobile,Canada,Google Search - Brand,Google Ads,2025-07-02,,0,0.0,Non-Purchaser
